127.0.0.1 - - [28/Dec/2021:16:15:36 +0000] "GET /docs/5.0/assets/img/favicons/favicon.ico HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:15:36 +0000] "GET /docs/5.0/assets/img/favicons/favicon-32x32.png HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:15:36 +0000] "GET /docs/5.0/assets/img/favicons/favicon-16x16.png HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:15:38 +0000] "GET /docs/5.0/assets/img/favicons/manifest.json HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:18:07 +0000] "GET /qr-code/login HTTP/1.1" 200 3506 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:18:07 +0000] "GET /qr-code/signin.css HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:18:10 +0000] "GET /docs/5.0/assets/img/favicons/manifest.json HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:25:25 +0000] "GET /qr-code/login HTTP/1.1" 200 3462 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:25:28 +0000] "GET /docs/5.0/assets/img/favicons/manifest.json HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:26:27 +0000] "GET /qr-code/login HTTP/1.1" 200 2813 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:26:30 +0000] "GET /qr-code/login HTTP/1.1" 200 2813 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:32:53 +0000] "GET /qr-code/register HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:33:13 +0000] "GET /qr-code/register HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:33:15 +0000] "GET /qr-code/register HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:33:44 +0000] "GET /qr-code/register HTTP/1.1" 200 3487 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:34:31 +0000] "GET /qr-code/register HTTP/1.1" 200 3425 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:35:18 +0000] "GET /qr-code/register HTTP/1.1" 200 3411 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:35:54 +0000] "GET /qr-code/register HTTP/1.1" 200 3411 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
